customer_tweet_id,customer_message,intent,confidence,generated_reply,escalate,escalation_reason,relevance,groundedness,helpfulness,brand_consistency,safety,overall,unsupported_claims,major_issue,reasoning,human_reviewed,human_intent,human_escalate
1449294,2 Apple techs independently agreed my Apple Watch repair should be under warranty but @AppleSupport still won’t fix it  🤔,hardware_repair,0.5776633014229775,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,True,"Hardware/service issue may require physical inspection, repair, replacement, or warranty intervention.",5,5,4,5,5,5,False,,"The response is highly appropriate for a public social media customer service channel. It acknowledges the customer's frustration, maintains Apple's brand tone, and invites the user to DM details so the issue can be privately investigated without making any overconfident promises or false policy guarantees.",HUMAN_REVIEWED,hardware_repair,yes
1770323,"with my 280 characters i’d like to get on apples ass about why all my fucking i’s in normal sentences look like this : i️ ,, please explain to me why y’all haven’t fixed this shit already. i’m an angry gal apple. i’m gonna switch to a heckin android if you don’t step UP. @115858",apps_media,0.21314928434268066,Thanks for reaching out. We'd like to help you get this sorted. Could you send us the OS version you're using? Please send us a few more details about what you're seeing so we can investigate.,False,Issue appears suitable for automated first-line support.,4,4,3,4,5,3,False,Fails to provide the direct workaround link for the well-known 'I' autocorrect bug.,"The reply asks for the OS version and further details, which is grounded in historical evidence (Case 3) and safe. However, because the customer is describing a specific, well-known iOS autocorrect glitch, providing a generic troubleshooting request rather than the standard workaround link (as shown in Cases 1 and 2) limits its helpfulness.",HUMAN_REVIEWED,settings_features,no
2077269,"OMFG @115858 #icloud is terrible 😡 not only does it not work, but when it does you have to upload to it then wait for it to download then 1/2",account_icloud,0.27046567475964256,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,False,Routine account/iCloud question appears suitable for automated first-line support.,4,5,4,5,5,4,False,,"The generated reply is directly grounded in Apple's historical social media support pattern, asking the customer to move to DM for troubleshooting without making any unsupported promises.",HUMAN_REVIEWED,account_icloud,no
1768877,"@AppleSupport I just tried iTunes, it said 10.3.1 is current however in Settings on the iPad says 11.1.",software_update,0.2936500561961829,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,False,Issue appears suitable for automated first-line support.,3,5,3,5,5,3,False,Generic deferral to DM without acknowledging the specific version mismatch between iTunes and iPad Settings.,"The response is standard, safe, and highly consistent with Apple's social support tone by inviting the customer to DM. However, it is generic and does not directly address or acknowledge the customer's specific issue regarding software update version discrepancies.",HUMAN_REVIEWED,software_update,no
1849980,"@115858, why have you made it so hard to get to a boarding pass from the lock screen #fail #iphone",settings_features,0.18130872755840502,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,False,Issue appears suitable for automated first-line support.,3,5,3,5,5,3,False,The reply is overly generic and asks for 'those details' when the customer has not provided specifics yet.,"The response matches Apple's usual social media support tone and style by asking the user to send a DM. However, it is generic and refers to 'those details' when the customer only shared a general complaint rather than technical details.",HUMAN_REVIEWED,settings_features,no
1071318,"@AppleSupport Glitches, random resets and more than half of my apps are not opening. We need to correct this ASAP",apps_media,0.1819028655884312,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,True,Repeated restart/reset behavior indicates a potentially severe device stability problem.,4,5,3,5,5,4,False,,"The reply is safe, highly consistent with Apple's social media support tone, and properly grounded. It provides a helpful next step by moving the conversation to DM to investigate, though it could be slightly more helpful by offering basic troubleshooting steps since the user already provided specific symptoms.",HUMAN_REVIEWED,device_performance,yes
1936283,@AppleSupport My iPad and iPhone 6 continually freezes and restarts since upgrading to iOS 11. Anything I can do to fix this. Thank you!,software_update,0.4596590802714801,Thanks for reaching out. We'd like to help you get this sorted. Could you send us your device model? Please send us a DM with those details so we can take a closer look.,True,Repeated restart/reset behavior indicates a potentially severe device stability problem.,3,5,3,5,5,4,False,Asks for device model even though the customer already mentioned using an iPhone 6 and an iPad.,"The response matches Apple's Twitter support style by inviting the user to DM for troubleshooting. However, asking for the device model is slightly redundant since the customer specified an iPhone 6, though the exact iPad model was not specified. The reply is completely safe and grounded in historical examples.",HUMAN_REVIEWED,device_performance,yes
1122181,@AppleSupport Newest versions on Airbook and iphone. Amazon used to autoshare to itunes,apps_media,0.27483455042347954,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,False,Issue appears suitable for automated first-line support.,4,5,3,5,5,4,False,,"The reply acknowledges the customer's response containing device details and appropriately offers a next step to move to Direct Message for further troubleshooting, consistent with Apple Support brand tone and historical evidence.",HUMAN_REVIEWED,apps_media,no
1970525,@AppleSupport  umm why can't I downgrade? https://t.co/6t8vbnKJ7v,other_unclear,0.4131810438395034,Thanks for reaching out. We'd like to help you get this sorted. Could you send us the OS version you're using? Please send us a DM with those details so we can take a closer look.,False,Issue appears suitable for automated first-line support.,4,5,4,5,5,4,False,,"The reply directly follows standard Apple Support practice by acknowledging the issue, asking for the OS version to troubleshoot the downgrade question, and inviting the customer to DM. It is safe, polite, and well-grounded in the historical evidence.",HUMAN_REVIEWED,account_icloud,no
514779,@AppleSupport my sim card keeps being “invalid” but it works for about 5 minutes each time i remove the tray so im sure its a software issue?? What should i do! When support tried to call me my sim card got invalid and it ended the call! HELP! THIS IS ANNOYING!!!!,connectivity_network,0.25648386923712535,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,False,Issue appears suitable for automated first-line support.,3,5,3,5,5,3,False,Provides a generic request for a DM instead of providing a help article or specific troubleshooting steps for the SIM card issue.,"The response uses standard Apple Support branding and safely invites the user to DM. However, it fails to provide immediate self-service troubleshooting steps or a relevant support link for SIM card issues as shown in historical cases.",HUMAN_REVIEWED,connectivity_network,yes
