customer_tweet_id,customer_message,previous_context,expected_intent,predicted_intent,generated_reply,human_label_status,retrieved_case_count,grounding_score,historical_reply_similarity
1449294,2 Apple techs independently agreed my Apple Watch repair should be under warranty but @AppleSupport still won’t fix it  🤔,,hardware_repair,hardware_repair,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.2691,0.09098707604203204
1770323,"with my 280 characters i’d like to get on apples ass about why all my fucking i’s in normal sentences look like this : i️ ,, please explain to me why y’all haven’t fixed this shit already. i’m an angry gal apple. i’m gonna switch to a heckin android if you don’t step UP. @115858",,settings_features,apps_media,Thanks for reaching out. We'd like to help you get this sorted. Could you send us the OS version you're using? Please send us a few more details about what you're seeing so we can investigate.,HUMAN_REVIEWED,3,0.2249,0.0947199449995462
2077269,"OMFG @115858 #icloud is terrible 😡 not only does it not work, but when it does you have to upload to it then wait for it to download then 1/2",,account_icloud,account_icloud,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.3692,0.24496143776815618
1768877,"@AppleSupport I just tried iTunes, it said 10.3.1 is current however in Settings on the iPad says 11.1.","@531811 Hey, let's get your iPad updated. Have you tried the update via iTunes on a computer? Here's how: https://t.co/80YRnjDFDk",software_update,software_update,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.4144,0.31445095554252667
1849980,"@115858, why have you made it so hard to get to a boarding pass from the lock screen #fail #iphone",,settings_features,settings_features,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.327,0.17992433815208128
1071318,"@AppleSupport Glitches, random resets and more than half of my apps are not opening. We need to correct this ASAP",@372807 We want you to be able to use your iPhone. What specific issues are you having with your device?,device_performance,apps_media,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.2796,0.1070169089682545
1936283,@AppleSupport My iPad and iPhone 6 continually freezes and restarts since upgrading to iOS 11. Anything I can do to fix this. Thank you!,,device_performance,software_update,Thanks for reaching out. We'd like to help you get this sorted. Could you send us your device model? Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.4411,0.2477986965866283
1122181,@AppleSupport Newest versions on Airbook and iphone. Amazon used to autoshare to itunes,@266977 Your Amazon Music is no longer syncing to your iTunes? Let's take a look. Which iTunes version is installed? Using a Mac or PC?,apps_media,apps_media,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.3065,0.14849167975030989
1970525,@AppleSupport  umm why can't I downgrade? https://t.co/6t8vbnKJ7v,,account_icloud,other_unclear,Thanks for reaching out. We'd like to help you get this sorted. Could you send us the OS version you're using? Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.3833,0.15889400543339763
514779,@AppleSupport my sim card keeps being “invalid” but it works for about 5 minutes each time i remove the tray so im sure its a software issue?? What should i do! When support tried to call me my sim card got invalid and it ended the call! HELP! THIS IS ANNOYING!!!!,,connectivity_network,connectivity_network,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.3259,0.17823804781454203
693952,"Hey @115858 @AppleSupport can you let me know why, when listening to music, I get this and not the song playing. It’s infuriating and means listening to music is actually hard work. https://t.co/oF1IoLmyjk",,apps_media,apps_media,Thanks for reaching out. We'd like to help you get this sorted. Could you send us the OS version you're using? Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.4037,0.19037241050836048
2852349,"Could a iPhone works worst? I cannot even call!!! With a 7!

@AppleSupport https://t.co/u7X2gRuBJU",,messaging_calls,messaging_calls,Thanks for reaching out. We'd like to help you get this sorted. Please send us a DM with those details so we can take a closer look.,HUMAN_REVIEWED,3,0.3726,0.25012375303866147
